listing_id,Space Word Count,Description Word Count,host_response_rate,host_acceptance_rate,host_is_superhost,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,Aggregate_sentiment_NY_reviews.Average Sentiment
27024,74,74,50%,50%,f,t,Entire home/apt,4,1,1,3,Real Bed,150,362,435,90,10,9,10,10,10,9,t,f,strict_14_with_grace_period,f,f,3.71,0.386937236
27385,171,161,100%,84%,f,t,Entire home/apt,4,1,1,3,Real Bed,225,359,124,94,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.03,0.420366909
27531,184,179,100%,99%,t,t,Private room,2,2,1,2,Real Bed,99,0,360,98,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,t,2.95,0.416773506
27644,161,160,100%,96%,t,t,Entire home/apt,6,1,1,1,Real Bed,170,356,209,95,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.95,0.38208576
27659,49,49,100%,62%,f,t,Entire home/apt,9,1.5,2,6,Real Bed,400,350,16,95,10,9,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.2,0.373599044
27759,87,87,N/A,90%,f,t,Entire home/apt,2,1,1,2,Pull-out Sofa,170,202,20,92,9,9,10,10,10,10,t,f,strict_14_with_grace_period,f,f,0.17,0.207750581
27883,0,7,N/A,N/A,f,t,Entire home/apt,3,1,1,2,Real Bed,100,0,25,97,9,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.21,0.415069207
28396,152,154,N/A,N/A,f,t,Private room,2,1,1,1,Real Bed,90,365,9,91,9,9,9,9,10,9,f,f,flexible,f,f,0.08,0.467989899
28907,174,170,N/A,0%,f,t,Entire home/apt,4,1,1,2,Real Bed,150,160,21,99,10,10,10,10,10,10,f,f,moderate,f,f,0.17,0.281958911
29013,121,139,100%,56%,f,t,Private room,2,1,1,1,Real Bed,70,365,64,93,9,9,9,9,9,9,f,f,strict_14_with_grace_period,f,f,0.53,0.35279671
29455,168,168,67%,93%,f,t,Entire home/apt,4,1,1,3,Real Bed,66,331,166,92,9,9,10,10,9,9,t,f,strict_14_with_grace_period,f,f,1.38,0.325836007
29628,173,172,N/A,100%,t,t,Private room,2,1,1,1,Real Bed,89,364,281,98,10,10,10,10,10,10,t,f,moderate,f,f,2.31,0.395861361
29683,164,159,96%,63%,f,t,Entire home/apt,3,1,1,1,Real Bed,185,1,100,95,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,t,0.82,0.389211307
30031,117,170,N/A,80%,t,t,Private room,2,2,1,1,Real Bed,50,0,196,98,10,9,10,10,10,10,t,f,strict_14_with_grace_period,f,f,1.71,0.382467435
31130,160,170,100%,81%,t,t,Private room,2,1,1,1,Real Bed,130,351,66,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.54,0.354411381
31555,170,176,100%,80%,f,t,Entire home/apt,2,1,0,1,Real Bed,115,1,28,93,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.24,0.417078653
31902,179,181,100%,50%,f,t,Private room,2,1,3,1,Real Bed,77,178,4,87,8,8,9,9,9,9,f,f,strict_14_with_grace_period,f,f,0.03,0.089935317
